Priority,Alpha-3 code,Name,Continent,Population density,pop_density_1overm2,on-site heat generation fraction,Emission factor tCO2/GWh,,,,,,,,
,ABW,Aruba,,624.00,0.00,1.00,199.40,,,,,,,,
,AFG,Afghanistan,,48.89,0.00,1.00,199.40,,,,,,,,
,AGO,Angola,,23.46,0.00,1.00,199.40,,,,,,,,
,AIA,Anguilla,,140.13,0.00,1.00,199.40,,,,,,,,
,ALA,Åland,,19.19,0.00,1.00,199.40,,,,,,,,
,ALB,Albania,,99.73,0.00,1.00,199.40,,,,,,,,
,AND,Andorra,,164.17,0.00,1.00,199.40,,,,,,,,
,ARE,United Arab Emirates,,116.87,0.00,1.00,199.40,,,,,,,,
,ARG,Argentina,,16.16,0.00,1.00,199.40,,,,,,,,
,ARM,Armenia,,99.44,0.00,1.00,199.40,,,,,,,,
,ASM,American Samoa,,289.85,0.00,1.00,199.40,,,,,,,,
,ATA,Antarctica,,0.00,0.00,1.00,199.40,,,,,,,,
,ATF,French Southern Territories,,0.00,0.00,1.00,199.40,,,,,,,,
,ATG,Antigua and Barbuda,,235.48,0.00,1.00,199.40,,,,,,,,
,AUS,Australia,,3.00,0.00,1.00,199.40,,,,,,,,
18,AUT,Austria,Europe,106.14,0.00,1.00,199.40,,,,,,,,
,AZE,Azerbaijan,,116.94,0.00,1.00,199.40,,,,,,,, 
,BDI,Burundi,,403.21,0.00,1.00,199.40,,,,,,,,
13,BEL,Belgium,Europe,375.73,0.00,1.00,199.40,,,,,,,,
,BEN,Benin,,104.18,0.00,1.00,199.40,,,,,,,,
,BES,"Bonaire, Sint Eustatius and Saba",,367.46,0.00,1.00,199.40,,,,,,,,
,BFA,Burkina Faso,,74.77,0.00,1.00,199.40,,,,,,,,
,BGD,Bangladesh,,1185.00,0.00,1.00,199.40,,,,,,,,
,BGR,Bulgaria,,62.62,0.00,1.00,199.40,,,,,,,,
,BHR,Bahrain,,1982.91,0.00,1.00,199.40,,,,,,,,
,BHS,Bahamas,,27.75,0.00,1.00,199.40,,,,,,,,
,BIH,Bosnia and Herzegovina,,68.57,0.00,1.00,199.40,,,,,,,,
,BLM,Saint-Barthélemy,,474.33,0.00,1.00,199.40,,,,,,,,
,BLR,Belarus,,45.59,0.00,1.00,199.40,,,,,,,,
,BLZ,Belize,,17.79,0.00,1.00,199.40,,,,,,,,
,BMU,Bermuda,,1226.52,0.00,1.00,199.40,,,,,,,,
,BOL,Bolivia,,10.29,0.00,1.00,199.40,,,,,,,,
,BRA,Brazil,,25.00,0.00,1.00,199.40,,,,,,,,
,BRB,Barbados,,667.50,0.00,1.00,199.40,,,,,,,,
,BRN,Brunei,,73.08,0.00,1.00,199.40,,,,,,,,
,BTN,Bhutan,,21.87,0.00,1.00,199.40,,,,,,,,
,BWA,Botswana,,3.96,0.00,1.00,199.40,,,,,,,,
,BVT,Bouvet Island,,0.00,0.00,1.00,199.40,,,,,,,,
,CAF,Central African Republic,,7.61,0.00,1.00,199.40,,,,,,,,
4,CAN,Canada,North America,4.00,0.00,1.00,199.40,,,,,,,,
,CCK,Cocos Islands,,38.86,0.00,1.00,199.40,,,,,,,,
17,CHE,Switzerland,Europe,207.98,0.00,1.00,199.40,,,,,,,,
,CHL,Chile,,22.98,0.00,1.00,199.40,,,,,,,,
3,CHN,China,Asia,146.00,0.00,1.00,269.55,,,,,,,,
,CIV,Côte d'Ivoire,,79.97,0.00,1.00,199.40,,,,,,,,
,CMR,Cameroon,,52.24,0.00,1.00,199.40,,,,,,,,
,COD,Democratic Republic of the Congo,,37.01,0.00,1.00,199.40,,,,,,,,
,COG,Republic of Congo,,15.79,0.00,1.00,199.40,,,,,,,,
,COK,Cook Islands,,64.35,0.00,1.00,199.40,,,,,,,,
,COL,Colombia,,41.00,0.00,1.00,199.40,,,,,,,,
