,country_name,iso3_code,continent_name,ohfa_factor,country_area,pop_density,emission_factor,climate_zone,m2_area,heating_demand_factor,estimated_floor_area,estimated_emissions
0,Aruba,ABW,North America,0.63,181938402.84,0.000624,199.4,1.0,123830473.491,2.0006e-05,6946245.460888073,17457.260553237356
1,Afghanistan,AFG,Asia,0.56,643857956774.23,4.889e-05,199.4,3.0,622801224751.389,5.2005e-05,2737206092.5187793,15895192.054886462
1,Afghanistan,AFG,Asia,0.56,643857956774.23,4.889e-05,199.4,2.0,19482732903.37,2.2628e-05,85626445.61803506,216355.16513078308
1,Afghanistan,AFG,Asia,0.56,643857956774.23,4.889e-05,199.4,5.0,1573999114.361,0.000159993,6917712.737588002,123588.10880447838
2,Angola,AGO,Africa,0.45,1247421952948.02,2.346e-05,199.4,1.0,1237889915972.13,2.0006e-05,2610646298.157548,4686471.366427538
2,Angola,AGO,Africa,0.45,1247421952948.02,2.346e-05,199.4,2.0,9410578329.976,2.2628e-05,19846426.700535953,40296.39196946296
3,Anguilla,AIA,North America,0.63,83303309.399,0.00014013,199.4,1.0,83303309.399,2.0006e-05,1049376.6099922385,2637.2867187399024
4,Åland Islands,ALA,Northern Europe,0.27,1506313422.2,1.919e-05,199.4,4.0,1074805734.37,0.00013328,1854141.832226977,13304.447819766749
4,Åland Islands,ALA,Northern Europe,0.27,1506313422.2,1.919e-05,199.4,5.0,1379090.861,0.000159993,2379.0625357249596,20.492538419956073
5,Albania,ALB,Europe,0.54,28735420527.182,9.973e-05,199.4,3.0,19043686300.184,5.2005e-05,170731965.75926977,956046.1462206725
5,Albania,ALB,Europe,0.54,28735420527.182,9.973e-05,199.4,4.0,8305078503.913,0.00013328,74457348.03688832,1068541.66659428
5,Albania,ALB,Europe,0.54,28735420527.182,9.973e-05,199.4,5.0,1386655748.416,0.000159993,12431756.017539928,214166.91153881408
6,Andorra,AND,Europe,0.54,451950754.378,0.00016417,199.4,2.0,451950754.378,2.2628e-05,6669955.195271759,16251.295995374425
7,Netherlands Antilles,ANT,,,,,,,,,,
8,United Arab Emirates,ARE,Asia,0.56,71204642681.968,0.00011687,199.4,3.0,7112816.216,5.2005e-05,74727.87526822355,433.9512221927674
8,United Arab Emirates,ARE,Asia,0.56,71204642681.968,0.00011687,199.4,1.0,71139844657.807,2.0006e-05,747401490.0358282,1669657.5467071151
9,Argentina,ARG,South America,0.56,2780096703222.92,1.616e-05,199.4,7.0,12857004525.852,0.000158663,18677517.67203088,330908.5576650833
9,Argentina,ARG,South America,0.56,2780096703222.92,1.616e-05,199.4,3.0,370537147343.505,5.2005e-05,538283556.1531085,3125859.0752176684
9,Argentina,ARG,South America,0.56,2780096703222.92,1.616e-05,199.4,1.0,202181757262.084,2.0006e-05,293711753.51395386,656137.3670631093
9,Argentina,ARG,South America,0.56,2780096703222.92,1.616e-05,199.4,10.0,8214213245.191,0.00024528,11932881.624206958,326829.0494751662
9,Argentina,ARG,South America,0.56,2780096703222.92,1.616e-05,199.4,4.0,257690573464.128,0.00013328,374350046.32022375,5571293.73371634
9,Argentina,ARG,South America,0.56,2780096703222.92,1.616e-05,199.4,2.0,1928560710736.49,2.2628e-05,2801642224.200604,7079001.839667928
10,Armenia,ARM,Asia,0.56,29690167661.991,9.944e-05,199.4,5.0,29690167661.991,0.000159993,265406630.5643652,4741611.104692318
11,American Samoa,ASM,Oceania,0.4,223404675.332,0.00028985,199.4,,,,,
12,Antarctica,ATA,Antarctica,0.0,,0.0,199.4,,,,,
13,French Southern Territories,ATF,Seven seas (open ocean),0.0,7867537012.16,0.0,199.4,,,,,
14,Antigua and Barbuda,ATG,North America,0.63,435809950.285,0.00023548,199.4,1.0,435809950.285,2.0006e-05,9225484.247293716,23185.42918496331
15,Australia,AUS,Oceania,0.4,7688039773787.52,3e-06,199.4,3.0,1640028194842.39,5.2005e-05,442293515.16256255,1834597.5866608785
15,Australia,AUS,Oceania,0.4,7688039773787.52,3e-06,199.4,1.0,2225065153579.46,2.0006e-05,600070103.2685378,957518.9982825919
15,Australia,AUS,Oceania,0.4,7688039773787.52,3e-06,199.4,2.0,3822034158043.74,2.2628e-05,1030751134.7358316,1860309.2133417593
16,Austria,AUT,Europe,0.54,83858236775.158,0.00010614,199.4,4.0,56560601742.807,0.00013328,539673517.6509188,7744885.564307428
16,Austria,AUT,Europe,0.54,83858236775.158,0.00010614,199.4,5.0,27297635017.463,0.000159993,260460643.2656748,4487061.318362399
17,Azerbaijan,AZE,Asia,0.56,86235460979.57,0.00011694,199.4,5.0,86235460979.57,0.000159993,906540020.797579,16195752.985980365
18,Burundi,BDI,Africa,0.45,26935284890.924,0.00040321,199.4,1.0,26935284890.924,2.0006e-05,976317043.1105357,1752624.1951358377
19,Belgium,BEL,Europe,0.54,30707463250.502,0.00037573,199.4,4.0,30707463250.502,0.00013328,1037188794.3256575,14884755.797541648
20,Benin,BEN,Africa,0.45,115423198902.094,0.00010418,199.4,1.0,115423198902.094,2.0006e-05,1080974532.718267,1940498.8714851271
21,"Bonaire, Sint Eustatius and Saba",BES,North America,0.63,323694202.708,0.00036746,199.4,1.0,309851564.388,2.0006e-05,10235328.049003012,25723.362297718162
22,Burkina Faso,BFA,Africa,0.45,273417332771.823,7.477e-05,199.4,1.0,273417332771.823,2.0006e-05,1837771134.2091565,3299053.4966749884
23,Bangladesh,BGD,Asia,0.56,139384445746.881,0.001185,199.4,1.0,123822636324.894,2.0006e-05,13190352430.147068,29466587.60028141
23,Bangladesh,BGD,Asia,0.56,139384445746.881,0.001185,199.4,2.0,15561809422.004,2.2628e-05,1657740109.71973,4188666.6273905416
24,Bulgaria,BGR,Europe,0.54,111587668462.297,6.262e-05,199.4,4.0,1215289057.022,0.00013328,6841174.266125852,98178.08375563407
24,Bulgaria,BGR,Europe,0.54,111587668462.297,6.262e-05,199.4,5.0,110372379403.13,0.000159993,621314474.3638575,10703636.870055044
25,Bahrain,BHR,Asia,0.56,715125475.904,0.00198291,199.4,3.0,715125475.904,5.2005e-05,127474481.90237775,740255.3200043855
26,Bahamas,BHS,North America,0.63,13388079453.059,2.775e-05,199.4,1.0,13091224393.998,2.0006e-05,32657373.80443469,82074.30714888626
27,Bosnia and Herzegovina,BIH,Europe,0.54,51068859708.894,6.857e-05,199.4,3.0,3210316684.002,5.2005e-05,19788825.918559615,110811.29812765295
27,Bosnia and Herzegovina,BIH,Europe,0.54,51068859708.894,6.857e-05,199.4,4.0,27660519127.491,0.00013328,170503178.25609472,2446900.8775752657
27,Bosnia and Herzegovina,BIH,Europe,0.54,51068859708.894,6.857e-05,199.4,5.0,20198023650.689,0.000159993,124503347.57135928,2144869.7503378177
28,Saint Barthélemy,BLM,North America,0.63,24707771.482,0.00047433,199.4,1.0,24707771.482,2.0006e-05,1053542.772563759,2647.757092401141
29,Belarus,BLR,Europe,0.54,207069815960.319,4.559e-05,199.4,5.0,207069815960.319,0.000159993,848641747.7793121,14619896.164979799
30,Belize,BLZ,North America,0.63,21989426376.134,1.779e-05,199.4,1.0,21989426376.134,2.0006e-05,35166395.10408724,88379.96375262755
31,Bermuda,BMU,North America,0.63,68062919.24,0.00122652,199.4,,,,,
32,Bolivia (Plurinational State of),BOL,South America,0.56,1083392375358.21,1.029e-05,199.4,1.0,1083392375358.21,2.0006e-05,1002164818.031912,2238786.079207753
33,Brazil,BRA,South America,0.56,8500364963903.8,2.5e-05,199.4,3.0,173064557139.343,5.2005e-05,388943167.60292214,2258626.547844397
33,Brazil,BRA,South America,0.56,8500364963903.8,2.5e-05,199.4,1.0,8011667538872.51,2.0006e-05,18005323573.223984,40222992.30831855
33,Brazil,BRA,South America,0.56,8500364963903.8,2.5e-05,199.4,2.0,314543636114.574,2.2628e-05,706901518.1499094,1786151.3880042634
