iso3_code,total_estimated_floor_area,total_estimated_heat_demand,total_estimated_emissions
ABW,6946245.460888073,2.0006e-05,17457.260553237356
AFG,2829750250.8744025,0.000234626,16235135.328821724
AGO,2630492724.8580837,4.2634e-05,4726767.758397001
AIA,1049376.6099922385,2.0006e-05,2637.2867187399024
ALA,1856520.894762702,0.00029327300000000004,13324.940358186705
ALB,257621069.81369802,0.00034527799999999997,2238754.7243537665
AND,6669955.195271759,2.2628e-05,16251.295995374425
ANT,0.0,0.0,0.0
ARE,747476217.9110965,7.2011e-05,1670091.4979293079
ARG,4038597979.484128,0.000631862,17090029.622805297
ARM,265406630.5643652,0.000159993,4741611.104692318
ASM,0.0,0.0,0.0
ATA,0.0,0.0,0.0
ATF,0.0,0.0,0.0
ATG,9225484.247293716,2.0006e-05,23185.42918496331
AUS,2073114753.166932,9.4639e-05,4652425.798285229
AUT,800134160.9165937,0.00029327300000000004,12231946.882669827
AZE,906540020.797579,0.000159993,16195752.985980365
BDI,976317043.1105357,2.0006e-05,1752624.1951358377
BEL,1037188794.3256575,0.00013328,14884755.797541648
BEN,1080974532.718267,2.0006e-05,1940498.8714851271
BES,10235328.049003012,2.0006e-05,25723.362297718162
BFA,1837771134.2091565,2.0006e-05,3299053.4966749884
BGD,14848092539.866798,4.2634e-05,33655254.22767195
BGR,628155648.6299833,0.00029327300000000004,10801814.953810679
BHR,127474481.90237775,5.2005e-05,740255.3200043855
BHS,32657373.80443469,2.0006e-05,82074.30714888626
BIH,314795351.74601364,0.00034527799999999997,4702581.926040737
BLM,1053542.772563759,2.0006e-05,2647.757092401141
BLR,848641747.7793121,0.000159993,14619896.164979799
BLZ,35166395.10408724,2.0006e-05,88379.96375262755
BMU,0.0,0.0,0.0
BOL,1002164818.031912,2.0006e-05,2238786.079207753
BRA,19101168258.976814,9.4639e-05,44267770.24416721
BRB,23573078.43889403,2.0006e-05,59243.712976572824
BRN,37957635.47053123,2.0006e-05,84795.4591520711
BTN,76208712.31877707,2.2628e-05,192559.0676936909
BVT,0.0,0.0,0.0
BWA,205718651.78910035,4.2634e-05,375828.95775579545
CAF,424281573.6431588,2.0006e-05,761644.1367736309
CAN,3568737071.241859,0.001553151,117796457.76881173
CCK,0.0,0.0,0.0
CHE,771148948.8370496,0.00013328,11066802.73617229
CHL,1564589485.9880304,0.000631862,12005170.218880901
CHN,123136080097.62039,0.000880483,2155250583.162139
CIV,2312381853.6989627,2.0006e-05,4151045.4147905535
CMR,2188589975.62707,2.0006e-05,3928821.863331418
COD,7749084256.186502,2.0006e-05,13910678.558134144
COG,485071769.72046876,2.0006e-05,870770.9508797355
COK,0.0,0.0,0.0
COL,4189572767.1844277,2.0006e-05,9359296.016218489
COM,70612522.94309185,2.0006e-05,126759.25004377475
CPV,0.0,0.0,0.0
CRI,455006998.37280226,2.0006e-05,1143520.7363266612
CUB,1012129543.9699892,2.0006e-05,2543677.6258773957
CUW,14061112.85999764,2.0006e-05,35338.30070469066
CXR,0.0,0.0,0.0
CYM,1775330.851726045,2.0006e-05,4461.750368784117
CYP,48681716.285479195,5.2005e-05,282698.9286755275
CZE,959790288.9144578,0.00029327300000000004,14584477.670584824
DEU,7485630876.997165,0.00013328,107426717.49272296
DJI,92158842.23420876,2.0006e-05,165437.87475099313
DMA,6588172.547017679,2.0006e-05,16557.35395049931
DNK,522678979.4642701,0.00013328,3750497.986671842
DOM,935381304.5227537,2.0006e-05,2350794.431556568
DZA,3745068300.8703537,9.4639e-05,13386589.175086165
ECU,1473351227.861795,2.0006e-05,3291392.9519082378
EGY,9017962879.730448,9.4639e-05,25336861.17602753
ERI,312729694.2232763,2.0006e-05,561393.0766658677
ESH,54069610.14742293,7.2011e-05,158915.2033352042
ESP,4216982872.231322,9.4639e-05,22119667.127331108
EST,119425426.31951553,0.00029327300000000004,2038262.4560045083
ETH,10265553834.86912,2.0006e-05,18428089.68092974
FIN,494409695.1783241,0.000390077,11024625.529420253
FJI,79790304.15079795,2.0006e-05,127319.6776293073
FLK,233988.87852633977,0.00040394300000000003,5193.143488547099
