iso3_code,climate_zone,m2_area
LBY,"3",892850488114.146
LBY,"1",22912520005.064
LBY,"2",700300654164.062
CRI,"1",51136691280.535
LBN,"3",10238058811.696
VIR,"1",362159803.727
LBR,"1",95918085125.092
LKA,"1",65837402996.421
TUR,"3",364552510443.907
TUR,"4",53395420538.778
TUR,"5",362756532899.673
IDN,"1",1888630886970.26
GRL,"7",86950187969.21
GRL,"6",50778.593
GRL,"8",48561606017.446
GRL,"10",2012013734079.68
CIV,"1",321658071510.367
CAN,"7",3390373840.541
CAN,"6",1299192796660.02
CAN,"8",757804111934.808
CAN,"10",2127415467955.6
CAN,"9",3050115259650.88
CAN,"4",225950050120.452
CAN,"5",2460812976588.93
KHM,"1",181354290559.609
GRD,"1",357276358.547
HRV,"3",5270914810.783
HRV,"4",23201470281.9
HRV,"5",28505212471.721
GRC,"3",104257185391.268
GRC,"4",749487274.557
GRC,"5",27477116870.159
IND,"3",9405327129.434
IND,"1",1981187749702.92
IND,"2",1162094598956.91
TUN,"3",154855712282.297
MDG,"1",591445692169.037
PSE,"3",6219974349.577
ZAF,"3",168376502540.879
ZAF,"1",145886510027.806
ZAF,"2",905446399832.514
MLT,"3",323367619.979
COM,"1",1673082588.965
COL,"1",1136705282965.81
BGR,"4",1215289057.022
BGR,"5",110372379403.13
MTQ,"1",1117982472.333
MLI,"3",5692527394.668
MLI,"1",1236739988327.46
MLI,"2",8760780311.503
MDA,"5",33907865554.831
ESP,"3",449130477163.757
ESP,"1",716391843.576
ESP,"2",55864939144.673
HTI,"1",27106745843.699
KAZ,"6",1878074792776.02
KAZ,"5",849774856366.217
PRY,"1",291241268720.641
PRY,"2",108344873525.633
CZE,"4",55691517350.418
CZE,"5",23144281044.813
EST,"4",2531669969.505
EST,"5",42933475596.583
GAB,"1",264549816182.858
ABW,"1",123830473.491
MEX,"3",107692255466.07
MEX,"1",1248852013973.89
MEX,"2",595191588107.075
MNG,"6",1187131578918.83
MNG,"5",379119346628.655
PRT,"3",88766624376.953
PRT,"1",748825049.572
COG,"1",341732172426.457
GIN,"1",244816176762.69
ESH,"3",106503668075.134
ESH,"1",160817110505.782
MNE,"3",1311928722.388
MNE,"4",11037028478.528
MNE,"5",986373642.893
IMN,"4",579672905.423
BLZ,"1",21989426376.134
SPM,"7",213282268.191
TJK,"3",72810803020.259
TJK,"5",69302368427.198
PRK,"6",25053797431.834
PRK,"5",97701319726.67
LCA,"1",614429767.665
ISL,"7",75919924752.033
ISL,"10",26235885416.852
PRI,"1",8970473735.613
MMR,"1",587158046406.351
MMR,"2",82109322932.325
SXM,"1",38007286.414
