Priority,Alpha-3 code,Name,Continent,Population density,pop_density_1overm2,on-site heat generation fraction,Emission factor tCO2/GWh
,ABW,Aruba,,624,0.000624,1,199.40
,AFG,Afghanistan,,48.89,4.889E-05,1,199.40
,AGO,Angola,,23.46,2.346E-05,1,199.40
,AIA,Anguilla,,140.13,0.00014013,1,199.40
,ALA,Åland,,19.19,1.919E-05,1,199.40
,ALB,Albania,,99.73,9.973E-05,1,199.40
,AND,Andorra,,164.17,0.00016417,1,199.40
,ARE,United Arab Emirates,,116.87,0.00011687,1,199.40
,ARG,Argentina,,16.16,1.616E-05,1,199.40
,ARM,Armenia,,99.44,9.944E-05,1,199.40
,ASM,American Samoa,,289.85,0.00028985,1,199.40
,ATA,Antarctica,,0,0,1,199.40
,ATF,French Southern Territories,,0,0,1,199.40
,ATG,Antigua and Barbuda,,235.48,0.00023548,1,199.40
,AUS,Australia,,3,3E-06,1,199.40
18,AUT,Austria,Europe,106.14,0.00010614,1,199.40
,AZE,Azerbaijan,,116.94,0.00011694,1,199.40
,BDI,Burundi,,403.21,0.00040321,1,199.40
13,BEL,Belgium,Europe,375.73,0.00037573,1,199.40
,BEN,Benin,,104.18,0.00010418,1,199.40
,BES,"Bonaire, Sint Eustatius and Saba",,367.46,0.00036746,1,199.40
,BFA,Burkina Faso,,74.77,7.477E-05,1,199.40
,BGD,Bangladesh,,1185,0.001185,1,199.40
,BGR,Bulgaria,,62.62,6.262E-05,1,199.40
,BHR,Bahrain,,1982.91,0.00198291,1,199.40
,BHS,Bahamas,,27.75,2.775E-05,1,199.40
,BIH,Bosnia and Herzegovina,,68.57,6.857E-05,1,199.40
,BLM,Saint-Barthélemy,,474.33,0.00047433,1,199.40
,BLR,Belarus,,45.59,4.559E-05,1,199.40
,BLZ,Belize,,17.79,1.779E-05,1,199.40
,BMU,Bermuda,,1226.52,0.00122652,1,199.40
,BOL,Bolivia,,10.29,1.029E-05,1,199.40
,BRA,Brazil,,25,2.5E-05,1,199.40
,BRB,Barbados,,667.5,0.0006675,1,199.40
,BRN,Brunei,,73.08,7.308E-05,1,199.40
,BTN,Bhutan,,21.87,2.187E-05,1,199.40
,BWA,Botswana,,3.96,3.96E-06,1,199.40
,BVT,Bouvet Island,,0,0,1,199.40
,CAF,Central African Republic,,7.61,7.61E-06,1,199.40
4,CAN,Canada,North America,4,4E-06,1,199.40
,CCK,Cocos Islands,,38.86,3.886E-05,1,199.40
17,CHE,Switzerland,Europe,207.98,0.00020798,1,199.40
,CHL,Chile,,22.98,2.298E-05,1,199.40
3,CHN,China,Asia,146,0.000146,1,269.55
,CIV,Côte d'Ivoire,,79.97,7.997E-05,1,199.40
,CMR,Cameroon,,52.24,5.224E-05,1,199.40
,COD,Democratic Republic of the Congo,,37.01,3.701E-05,1,199.40
,COG,Republic of Congo,,15.79,1.579E-05,1,199.40
,COK,Cook Islands,,64.35,6.435E-05,1,199.40
,COL,Colombia,,41,4.1E-05,1,199.40
,COM,Comoros,,469.49,0.00046949,1,199.40
,CPV,Cape Verde,,136.49,0.00013649,1,199.40
